institution_id,institution_id,person_id,project_count
10161.0,10161.0,1481522,3
10162.0,10162.0,988827,1
10162.0,10162.0,259565,1
10162.0,10162.0,1417769,2
10163.0,10163.0,224549469,1
10163.0,10163.0,140351072,1
10163.0,10163.0,1835126,1
10163.0,10163.0,1654013,1
10163.0,10163.0,1049877,1
10163.0,10163.0,1155834,2
10163.0,10163.0,1098940,7
10164.0,10164.0,1361662,1
10165.0,10165.0,1135663,18
10165.0,10165.0,5789,19
10165.0,10165.0,1259437,19
10165.0,10165.0,1682991,20
10165.0,10165.0,1131935,20
10165.0,10165.0,1790460,21
10165.0,10165.0,1181580,21
10165.0,10165.0,5446,23
10165.0,10165.0,1228718,24
10165.0,10165.0,1421910,25
10167.0,10167.0,1058162,17
10167.0,10167.0,1706171,17
10167.0,10167.0,1379407,17
10167.0,10167.0,1299938,19
10167.0,10167.0,1202908,20
10167.0,10167.0,1184006,20
10167.0,10167.0,1813444,23
10167.0,10167.0,1230053,26
10167.0,10167.0,1277419,34
10167.0,10167.0,1597286,101
10169.0,10169.0,1949350,1
10169.0,10169.0,221391071,1
10170.0,10170.0,1184765,1
10170.0,10170.0,127937568,1
10170.0,10170.0,1838205,1
10170.0,10170.0,1826597,1
10170.0,10170.0,1621228,1
10170.0,10170.0,1384517,1
10170.0,10170.0,1286913,2
10170.0,10170.0,1591904,2
10170.0,10170.0,1652548,2
10170.0,10170.0,1205710,3
10171.0,10171.0,232742010,1
10171.0,10171.0,1860494,1
10171.0,10171.0,1762911,1
10171.0,10171.0,1659310,1
10172.0,10172.0,240144404,2
10172.0,10172.0,312052688,2
10172.0,10172.0,70489531,2
10172.0,10172.0,1107894,3
10172.0,10172.0,1840243,3
10172.0,10172.0,263296408,3
10172.0,10172.0,1358298,4
10172.0,10172.0,1752769,5
10172.0,10172.0,1250089,8
10172.0,10172.0,1549381,12
10173.0,10173.0,43741873,1
10173.0,10173.0,43004143,1
10173.0,10173.0,1832521,1
10173.0,10173.0,1506676,1
10173.0,10173.0,1836529,2
10173.0,10173.0,1069165,2
10173.0,10173.0,42779387,2
10173.0,10173.0,1494748,3
10173.0,10173.0,1512470,5
10173.0,10173.0,6706,6
10174.0,10174.0,1386963,2
10174.0,10174.0,1641808,2
10174.0,10174.0,1822056,2
10174.0,10174.0,1874654,2
10174.0,10174.0,1013925,2
10174.0,10174.0,1236631,3
10174.0,10174.0,1851899,3
10174.0,10174.0,1378314,5
10174.0,10174.0,1436785,8
10174.0,10174.0,1196255,18
10175.0,10175.0,1059890,2
10175.0,10175.0,1037200,3
10175.0,10175.0,1698129,3
10175.0,10175.0,1787070,3
10175.0,10175.0,1419482,4
10175.0,10175.0,1155706,4
10175.0,10175.0,1353905,6
10175.0,10175.0,1363673,7
10175.0,10175.0,1871728,8
10175.0,10175.0,1173425,20
10178.0,10178.0,1060591,5
10178.0,10178.0,1208532,5
10178.0,10178.0,1435359,5
10178.0,10178.0,1415182,5
10178.0,10178.0,1772937,5
10178.0,10178.0,1841699,5
10178.0,10178.0,1220250,5
10178.0,10178.0,1567448,6
10178.0,10178.0,1591335,7
10178.0,10178.0,1119269,8
10179.0,10179.0,215080866,2
10179.0,10179.0,33648085,3
10179.0,10179.0,1837684,4
10179.0,10179.0,1636926,4
10179.0,10179.0,1419442,4
10179.0,10179.0,1696772,5
10179.0,10179.0,1464665,6
10179.0,10179.0,1420147,7
10179.0,10179.0,1399341,7
10179.0,10179.0,1149002,8
10181.0,10181.0,1738486,2
10181.0,10181.0,1582358,2
10181.0,10181.0,1575325,2
10181.0,10181.0,1454986,2
10181.0,10181.0,1465265,3
10181.0,10181.0,29119518,3
10181.0,10181.0,1393241,5
10181.0,10181.0,1185056,5
10181.0,10181.0,1860365,6
10181.0,10181.0,1462760,8
10182.0,10182.0,1236347,18
10182.0,10182.0,1021923,19
10182.0,10182.0,1683939,19
10182.0,10182.0,1738687,23
10182.0,10182.0,124335144,24
10182.0,10182.0,1819476,24
10182.0,10182.0,1284623,32
10182.0,10182.0,1231991,34
10182.0,10182.0,254049,52
10182.0,10182.0,1015268,63
10185.0,10185.0,1685034,1
10185.0,10185.0,145038231,2
10185.0,10185.0,27010430,2
10185.0,10185.0,1858570,2
10185.0,10185.0,1185285,2
10185.0,10185.0,1149838,6
10185.0,10185.0,1841243,6
10185.0,10185.0,1275638,12
10185.0,10185.0,1469932,17
10185.0,10185.0,1430974,61
10187.0,10187.0,1665602,1
10187.0,10187.0,1601368,1
10187.0,10187.0,1552938,1
10187.0,10187.0,1081258,1
10187.0,10187.0,1153024,2
10187.0,10187.0,991407,3
10187.0,10187.0,1407325,4
10187.0,10187.0,1829713,5
10187.0,10187.0,1393826,6
10187.0,10187.0,1350566,8
10188.0,10188.0,1581693,4
10188.0,10188.0,1696484,5
10188.0,10188.0,1708854,6
10188.0,10188.0,1825863,7
10188.0,10188.0,1542291,7
10188.0,10188.0,1009473,8
10188.0,10188.0,1292392,9
10188.0,10188.0,1735986,10
10188.0,10188.0,989786,10
10188.0,10188.0,1060269,28
10189.0,10189.0,13429856,1
10191.0,10191.0,111082771,1
10191.0,10191.0,51155321,1
10191.0,10191.0,1675824,1
10192.0,10192.0,1059211,14
10192.0,10192.0,1045318,15
10192.0,10192.0,1319188,16
10192.0,10192.0,1534548,17
10192.0,10192.0,1498102,17
10192.0,10192.0,1111558,17
10192.0,10192.0,1000226,21
10192.0,10192.0,1367022,24
10192.0,10192.0,1044391,27
10192.0,10192.0,1558964,43
10194.0,10194.0,1848740,11
10194.0,10194.0,1753503,11
10194.0,10194.0,1268904,11
10194.0,10194.0,1148506,11
10194.0,10194.0,1095518,11
10194.0,10194.0,1272064,13
10194.0,10194.0,1119557,13
