,institution_id,person_id,project_count,person_gender_index,name,first_name,gender
323,10110,1827849,3,,"professor götz eduard pfander, ph.d.","pfander,",
324,10110,23141188,4,,professor dr. marco steinhauser,marco,M
325,10111,1447977,2,,professor dr. burkhard freitag,burkhard,M
326,10111,1549731,2,,professor dr. thomas wünsch,thomas,M
327,10111,5417,2,,professor dr. hans-werner eroms,hans-werner,
328,10111,1015320,3,,professor dr. johann braun,johann,M
329,10111,988719,3,,professor dr. dieter anhuf,dieter,M
330,10111,1352092,4,,"professor christian lengauer, ph.d.","lengauer,",
331,10111,1087854,4,0.1111111111111111,professor dr. rüdiger harnisch,rüdiger,
332,10111,1142921,5,0.0,professor dr. heinz-rüdiger korff,heinz-rüdiger,
333,10111,1015342,5,,professor dr. franz josef brandenburg,josef,M
334,10111,69588680,6,,professor dr.-ing. sven apel,sven,M
335,10113,1538776,12,0.19791666666666666,professor dr. christoph strunk,christoph,M
336,10113,1231427,12,0.15192307692307694,professor dr. oliver reiser,oliver,M
337,10113,1323356,12,0.0,professor dr. bernhard h.f. weber,h.f.,
338,10113,27256287,12,0.2,professor dr. jascha repp,jascha,M
339,10113,1235399,13,0.2333333333333333,professor dr. klaus richter,klaus,M
340,10113,1251096,13,0.0,professor dr. manfred scheer,manfred,M
341,10113,1305084,14,0.0,professor dr. herbert tschochner,herbert,M
342,10113,1248454,16,0.0,professor dr. andreas schäfer,andreas,M
343,10113,1125928,19,0.07666666666666666,professor dr. hans robert kalbitzer,robert,M
344,10113,1635644,22,0.011904761904761904,professor dr. dieter weiss,dieter,M
345,10115,1487733,22,0.032638414217361585,professor dr. mathias göken,mathias,M
346,10115,1281305,22,0.6000578368999422,professor dr.-ing. robert f. singer,f.,
347,10115,1245105,22,0.0,professor dr. norbert sauer,norbert,M
348,10115,1428487,26,0.11479591836734696,"professor dr. karsten matthias haase, ph.d.","haase,",
349,10115,5393,27,0.21428571428571427,professor dr.-ing. gottfried w. ehrenstein,w.,
350,10115,1415436,27,0.162593984962406,professor dr.-ing. paul steinmann,paul,M
351,10115,1096951,32,0.0,professor dr. ulrich heber,ulrich,M
352,10115,1729443,32,0.06999999999999999,professor dr.-ing. dietmar drummer,dietmar,M
353,10115,1441808,38,0.055078191346133926,professor dr.-ing. wolfgang peukert,wolfgang,M
354,10115,1791985,47,0.3036725244195533,professorin dr.-ing. marion merklein,marion,F
355,10117,1755629,14,0.0875,professor dr. leonid dubrovinsky,leonid,M
356,10117,1078195,14,0.0,professor dr. andreas greiner,andreas,M
357,10117,6338,15,0.0,professor dr. hans-werner schmidt,hans-werner,
358,10117,1631509,16,0.16666666666666666,professor dr. rhett kempe,rhett,?
359,10117,1240068,16,0.015625,professor dr. ernst rößler,ernst,M
360,10117,1719876,18,0.06818181818181818,professor dr. daniel j. frost,j.,
361,10117,1070403,19,0.1607142857142857,professor dr.-ing. uwe glatzel,uwe,M
362,10117,1337762,20,0.0303030303030303,professor dr. wolfgang zech,wolfgang,M
