,person_id,name,first_name,gender
233,1417177,professor dr. klaus h. hinrichs,h.,
234,172519378,dr. stanislav chadov,stanislav,M
235,1262618,professor dr. jörg w. schneider,w.,
236,1170033,professor dr. harald loppnow,harald,M
237,1059808,professor dr. thomas fröhlich,thomas,M
238,1272287,professor dr. hendrik schubert,hendrik,M
239,107744656,dr. katharina klasen,katharina,F
240,1942399,professor björk hammer,björk,
241,1643952,professor dr. joachim rohn,joachim,M
242,1789413,dr. bernd remmele,bernd,M
243,1586793,dr. paul statham,paul,M
244,164579929,privatdozent dr. thomas günther,thomas,M
245,198257584,professor dr.-ing. silvio dutz,silvio,M
246,37026130,professor dr. oliver auge,oliver,M
247,244445550,professorin dr. barbara gronau,barbara,F
248,1408455,professor dr. christoph k. neumann,k.,
249,1676580,professorin dr.-ing. kerstin thurow,kerstin,F
250,39194892,dr. jan chemnitz,jan,M
251,1319972,professor dr. albrecht wegner,albrecht,M
252,1656834,dr. christoph isbert,christoph,M
253,1686386,professor dr. thomas braun,thomas,M
254,1436743,professor dr. markus vinzent,markus,M
255,216336960,dr. beate bornschein,beate,F
256,1785848,privatdozent dr. hans-albrecht krug von nidda,von,M
257,1179268,professorin dr. trude maurer,trude,F
258,273688069,dr. alexander sprafke,alexander,M
259,1081221,professor dr. erich gulbins,erich,M
260,1250402,professor dr. florian scheck,florian,M
261,1711236,dr. thomas kühne,thomas,M
262,1417359,dr. rainer stax,rainer,M
263,1195054,professor dr. felix mühlhölzer,felix,M
264,1199687,professor dr. ulrich neumann,ulrich,M
265,1659566,professorin dr. angelika preisfeld,angelika,F
266,1388818,professor dr. hartmut zwahr,hartmut,M
267,232354322,dr. sridhar ravi,sridhar,M
268,109731697,dr. tina heger,tina,F
269,1846285,dr.-ing. maria eletta negretti,eletta,F
270,72455466,dr. carolin stegmayer,carolin,F
271,1773327,andreas curtius,andreas,M
272,1869182,professor dr. manfred kohl,manfred,M
273,169946501,dr. ihar babushkin,ihar,M
274,1642419,professorin dr. anja widdig,anja,F
275,1637771,dr. volker niemeier,volker,M
276,120790495,dr. christiane trela,christiane,F
277,41018010,professor dr. marcus a. horn,a.,
278,243249899,professor dr. vladimir bogdanov,vladimir,M
279,1812227,dr. gernot strehl,gernot,M
280,1657924,privatdozent dr. thomas ott,thomas,M
281,1924235,professor claudio zannoni,claudio,M
282,1572420,professor dr. steffen weißmantel,steffen,M
283,1508261,privatdozent dr. jürgen kraus,jürgen,
284,1674821,professorin dr. anke bennholdt-thomsen,anke,F
285,1805752,professorin dr.-ing. ilona rolfes,ilona,F
286,1081507,professor dr. rolf hachmann,rolf,M
287,40280548,dr. ammar hideur,ammar,M
288,1126193,professor dr. christian kasperk,christian,M
289,1343308,professor dr. viktor steiner,viktor,M
290,33667794,dr. mike reichelt,mike,M
291,1426615,professor dr. christoph schlieder,christoph,M
292,1353279,dr. reinhard klein-arendt,reinhard,M
293,1377873,professor dr.-ing. gert goch,gert,M
294,1931755,professor dr. paul greengard,paul,M
295,1094794,privatdozent dr. goetz p. hellmann,p.,
296,198630856,dr. sarah catharina grünert,catharina,F
297,230846696,professor dr. wolfgang mikulits,wolfgang,M
298,31867192,professor dr.-ing. christoph butenweg,christoph,M
299,1781832,privatdozent dr. peter wühr,peter,M
300,1183083,professor dr. heinrich meyr,heinrich,M
301,1101867,professor dr. johann heider,johann,M
302,1431427,dr. ulrike kienel,ulrike,F
303,91460713,professor dr. christian plonka-spehr,christian,M
304,127344204,professor dr. björn ommer,björn,
305,5181,professor dr. klaus backhaus,klaus,M
306,1354668,professor dr. frank wolter,frank,M
307,1259523,privatdozentin dr. elisabeth schmitt,elisabeth,F
308,1632198,"professor dr. meinhard kieser, ph.d.","kieser,",
309,1812978,professor dr. patrick hostert,patrick,M
310,211249181,professor dr. dirk bellstedt,dirk,M
311,6336,professor dr.-ing. detlef schmid,detlef,M
312,34098612,dr. hermann krebs,hermann,M
313,21152228,dr. karin bamert,karin,F
314,1777588,professor dr.-ing. bernardo wagner,bernardo,M
